name,common_name,type,type_fr,ra_h,dec_deg,size_w_arcmin,size_h_arcmin,mag,filter,messier
NGC1850,,GCl,amas globulaire,5.1458,-68.7617,3.00,3.00,8.96,sans,
NGC1854,,GCl,amas globulaire,5.1555,-68.8474,2.30,2.30,10.39,sans,
NGC1856,,GCl,amas globulaire,5.1582,-69.1276,2.70,2.40,10.06,sans,
NGC1858,,Cl+N,amas + nebuleuse,5.1644,-68.8913,4.40,2.60,9.88,LP,
NGC1860,,OCl,amas ouvert,5.1776,-68.7523,1.10,1.10,11.04,sans,
NGC1807,,OCl,amas ouvert,5.1792,16.5128,5.40,5.40,7.0,sans,
NGC1832,,G,galaxie,5.2009,-15.6878,2.46,0.94,11.54,sans,
NGC1817,,OCl,amas ouvert,5.2073,16.6841,9.30,9.30,7.7,sans,
NGC1870,,GCl,amas globulaire,5.2194,-69.1169,1.10,1.00,11.26,sans,
NGC1872,,GCl,amas globulaire,5.2197,-69.3116,1.70,1.70,11.04,sans,
NGC1876,,Cl+N,amas + nebuleuse,5.2218,-69.3621,1.50,1.50,11.71,LP,
NGC1866,,GCl,amas globulaire,5.2275,-65.4656,5.50,5.50,9.73,sans,
NGC1877,,Neb,nebuleuse,5.2275,-69.3838,1.10,0.60,12.0,LP,
NGC1871,,Cl+N,amas + nebuleuse,5.231,-67.4526,2.30,1.60,10.09,LP,
NGC1873,,Cl+N,amas + nebuleuse,5.2321,-67.3344,2.80,2.20,10.44,LP,
NGC1851,,GCl,amas globulaire,5.2352,-40.0466,9.00,9.00,7.23,sans,
NGC1868,,GCl,amas globulaire,5.2434,-63.9545,2.70,2.70,11.57,sans,
NGC1885,,OCl,amas ouvert,5.2516,-68.9776,1.40,1.20,11.97,sans,
IC0405,Flaming Star Nebula,Neb,nebuleuse,5.2749,34.3562,50.00,30.00,10.0,LP,
NGC1898,,OCl,amas ouvert,5.2784,-69.6562,1.60,1.60,11.86,sans,
NGC1903,,GCl,amas globulaire,5.2895,-69.3353,1.90,1.90,11.86,sans,
NGC1902,,OCl,amas ouvert,5.3053,-66.6274,1.70,1.70,11.77,sans,
NGC1913,,OCl,amas ouvert,5.3054,-69.5365,1.30,1.10,11.14,sans,
NGC1916,,GCl,amas globulaire,5.3101,-69.4068,2.10,2.10,10.38,sans,
NGC1910,,Cl+N,amas + nebuleuse,5.312,-69.2319,3.60,2.80,9.65,LP,
NGC1922,,OCl,amas ouvert,5.3303,-69.4483,1.00,0.90,11.51,sans,
NGC1857,,OCl,amas ouvert,5.3349,39.3436,4.50,4.50,7.0,sans,
NGC1926,,GCl,amas globulaire,5.3432,-69.5253,1.40,1.20,11.79,sans,
NGC1939,,GCl,amas globulaire,5.3574,-69.9498,1.40,1.30,11.83,sans,
NGC1923,,Cl+N,amas + nebuleuse,5.3595,-65.4867,0.95,0.85,11.24,LP,
NGC1934,,Cl+N,amas + nebuleuse,5.3633,-67.9372,1.90,1.30,10.5,LP,
NGC1944,,GCl,amas globulaire,5.366,-72.4941,2.70,2.70,11.84,sans,
NGC1936,,EmN,nebuleuse,5.3705,-67.9783,1.00,1.00,11.6,LP,
NGC1943,,GCl,amas globulaire,5.3746,-70.1549,1.10,1.00,11.88,sans,
NGC1888,,G,galaxie,5.3762,-11.4995,3.32,1.31,11.92,sans,
NGC1940,,GCl,amas globulaire,5.3788,-67.1866,1.20,1.20,11.91,sans,
IC2128,,Cl+N,amas + nebuleuse,5.3789,-68.0611,4.80,3.60,11.1,LP,
NGC1893,,OCl,amas ouvert,5.3789,33.412,6.00,6.00,7.5,sans,
NGC1941,,Cl+N,amas + nebuleuse,5.3855,-66.3786,0.90,0.80,12.0,LP,
M79,,GCl,amas globulaire,5.4029,-24.5242,7.20,7.20,8.16,sans,79
NGC1953,,GCl,amas globulaire,5.4244,-68.8383,1.20,1.20,11.74,sans,
NGC1948,,Cl+N,amas + nebuleuse,5.4295,-66.2668,7.00,5.70,10.61,LP,
NGC1883,,OCl,amas ouvert,5.4317,46.4901,5.70,5.70,12.0,sans,
NGC1951,,OCl,amas ouvert,5.4352,-66.5972,1.70,1.50,10.58,sans,
NGC1955,,HII,region HII,5.4361,-67.4974,4.00,3.60,8.87,LP,
NGC1962,,OCl,amas ouvert,5.4383,-68.8376,1.40,1.40,11.47,sans,
NGC1965,,OCl,amas ouvert,5.442,-68.8055,1.20,1.10,11.7,sans,
NGC1967,,OCl,amas ouvert,5.4454,-69.1015,0.95,0.90,10.81,sans,
NGC1971,,OCl,amas ouvert,5.4459,-69.8516,1.10,0.95,11.9,sans,
NGC1966,,OCl,amas ouvert,5.4461,-68.8199,1.10,1.00,11.83,sans,
NGC1947,,G,galaxie,5.4466,-63.76,3.48,3.18,10.47,sans,
NGC1970,,OCl,amas ouvert,5.448,-68.8367,1.50,1.50,10.28,sans,
NGC1968,,*Ass,association d'etoiles,5.4561,-67.4638,5.00,2.70,8.22,sans,
IC0418,,PN,nebuleuse planetaire,5.4578,-12.6973,0.20,0.20,9.44,LP,
NGC1986,,GCl,amas globulaire,5.4606,-69.9736,2.80,2.40,11.07,sans,
NGC1984,,OCl,amas ouvert,5.4614,-69.1343,1.50,1.20,9.99,sans,
NGC1974,,OCl,amas ouvert,5.4664,-67.4241,1.60,1.60,10.3,sans,
NGC1907,,OCl,amas ouvert,5.4679,35.3257,5.40,5.40,8.2,sans,
M38,,OCl,amas ouvert,5.4785,35.8549,9.60,9.60,6.4,sans,38
NGC1978,,GCl,amas globulaire,5.4792,-66.2359,4.00,2.70,10.7,sans,
NGC2005,,GCl,amas globulaire,5.503,-69.7524,1.60,1.60,11.57,sans,
NGC2002,,GCl,amas globulaire,5.5057,-66.885,1.90,1.70,10.84,sans,
NGC2010,,OCl,amas ouvert,5.5097,-70.8197,1.90,1.70,11.72,sans,
NGC2004,,GCl,amas globulaire,5.5119,-67.2864,3.00,2.80,9.6,sans,
NGC2003,,GCl,amas globulaire,5.5153,-66.4666,1.70,1.40,11.3,sans,
NGC2009,,OCl,amas ouvert,5.5164,-69.1817,1.40,1.20,11.02,sans,
NGC2006,,*Ass,association d'etoiles,5.5225,-66.9653,1.60,1.40,10.88,sans,
NGC2018,,HII,region HII,5.5236,-71.0691,2.80,1.70,10.89,LP,
NGC1931,,Cl+N,amas + nebuleuse,5.5237,34.2466,4.80,4.80,10.1,LP,
NGC2019,,GCl,amas globulaire,5.5324,-70.1596,1.50,1.50,10.86,sans,
NGC2015,,*Ass,association d'etoiles,5.5351,-69.243,4.70,4.00,10.43,sans,
NGC2011,,OCl,amas ouvert,5.5389,-67.5231,1.00,1.00,10.58,sans,
NGC2014,,Neb,nebuleuse,5.5389,-67.6898,5.10,3.50,8.97,LP,
NGC2025,,OCl,amas ouvert,5.5427,-71.7155,1.90,1.90,10.94,sans,
NGC1964,,G,galaxie,5.556,-21.9458,5.16,2.33,10.91,sans,
NGC2031,,GCl,amas globulaire,5.5616,-70.9868,3.30,2.80,10.83,sans,
NGC2033,,*Ass,association d'etoiles,5.5752,-69.7801,5.90,4.60,11.63,sans,
M1,Crab Nebula,SNR,remanent de supernova,5.5755,22.0145,8.00,4.00,8.4,LP,1
NGC2038,,OCl,amas ouvert,5.5784,-70.5629,1.60,1.50,11.92,sans,
NGC2027,,OCl,amas ouvert,5.5833,-66.9163,4.60,2.80,10.97,sans,
NGC2037,,OCl,amas ouvert,5.5835,-69.7316,2.90,1.30,10.31,sans,
NGC1973,,Neb,nebuleuse,5.5847,-4.7318,5.00,5.00,7.0,LP,
NGC1981,Upper Sword,Cl+N,amas + nebuleuse,5.586,-4.4251,9.00,9.00,4.2,LP,
M42,Great Orion Nebula,Cl+N,amas + nebuleuse,5.5879,-5.3897,90.00,60.00,4.0,LP,42
NGC1975,,Neb,nebuleuse,5.5883,-4.6852,10.00,5.00,7.0,LP,
NGC1980,Lower Sword,Cl+N,amas + nebuleuse,5.5906,-5.9099,9.30,9.30,2.5,LP,
M43,Mairan's Nebula,HII,region HII,5.592,-5.2675,20.00,15.00,9.0,LP,43
NGC2035,,Neb,nebuleuse,5.592,-67.5842,1.80,1.30,10.99,LP,
NGC2040,,Neb,nebuleuse,5.6016,-67.5686,2.10,1.70,11.47,LP,
NGC2044,,*Ass,association d'etoiles,5.6017,-69.1987,5.50,4.50,10.59,sans,
NGC2051,,OCl,amas ouvert,5.602,-71.0114,1.50,1.50,11.69,sans,
NGC2042,,OCl,amas ouvert,5.6027,-68.9234,4.50,4.50,9.58,sans,
M36,,OCl,amas ouvert,5.6049,34.1407,7.20,7.20,6.0,sans,36
NGC1999,,RfN,nebuleuse par reflexion,5.607,-6.7159,2.00,2.00,9.5,sans,
NGC2041,,GCl,amas globulaire,5.6078,-66.9898,2.60,2.60,10.36,sans,
NGC2056,,OCl,amas ouvert,5.6094,-70.6719,1.50,1.50,11.77,sans,
NGC2050,,*Ass,association d'etoiles,5.6108,-69.3835,3.00,2.40,9.25,sans,
NGC2055,,*Ass,association d'etoiles,5.6124,-69.4986,1.90,1.30,8.39,sans,
NGC2058,,OCl,amas ouvert,5.6151,-70.1623,2.10,2.10,11.85,sans,
NGC2065,,OCl,amas ouvert,5.6273,-70.2365,2.30,2.30,11.24,sans,
NGC2060,,SNR,remanent de supernova,5.6297,-69.1717,2.20,2.00,9.59,LP,
NGC2075,,Cl+N,amas + nebuleuse,5.6393,-70.685,2.20,1.80,11.47,LP,
NGC2070,30 Dor Cluster,HII,region HII,5.6451,-69.1009,16.00,16.00,7.25,LP,
NGC2069,,Neb,nebuleuse,5.6462,-68.9744,5.00,2.20,10.1,LP,
NGC2074,,Cl+N,amas + nebuleuse,5.651,-69.4981,4.00,3.40,8.5,LP,
NGC2077,,Neb,nebuleuse,5.66,-69.6571,1.30,1.30,11.71,LP,
NGC2079,,HII,region HII,5.6604,-69.7572,1.10,0.95,11.81,LP,
NGC2078,,EmN,nebuleuse,5.661,-69.7432,1.20,1.10,10.89,LP,
NGC2080,,HII,region HII,5.6627,-69.6441,1.70,1.50,10.42,LP,
NGC2083,,Neb,nebuleuse,5.6665,-69.7376,2.00,1.80,10.83,LP,
NGC2086,,Neb,nebuleuse,5.6702,-69.6679,0.85,0.80,12.0,LP,
IC2145,,Neb,nebuleuse,5.6735,-69.6703,0.19,0.19,12.0,LP,
IC0434,Flame Nebula,HII,region HII,5.6836,-2.4538,90.00,30.00,11.0,LP,
NGC2103,,HII,region HII,5.6945,-71.3331,4.00,3.50,10.82,LP,
NGC2093,,*Ass,association d'etoiles,5.6972,-68.9214,1.50,1.30,11.57,sans,
NGC1961,,G,galaxie,5.7013,69.3784,4.42,3.10,11.54,sans,
NGC2022,,PN,nebuleuse planetaire,5.7017,9.0865,0.32,0.32,11.6,LP,
NGC2100,,GCl,amas globulaire,5.7025,-69.2118,2.50,2.50,9.6,sans,
NGC2096,,OCl,amas ouvert,5.7049,-68.4586,1.10,0.90,11.31,sans,
NGC2102,,OCl,amas ouvert,5.7057,-69.4871,0.85,0.85,11.44,sans,
NGC2098,,OCl,amas ouvert,5.7086,-68.2732,2.20,2.00,10.73,sans,
NGC2107,,OCl,amas ouvert,5.7202,-70.6399,1.70,1.70,11.51,sans,
M78,,RfN,nebuleuse par reflexion,5.7794,0.0793,4.50,4.50,8.0,sans,78
NGC2090,,G,galaxie,5.7839,-34.2506,4.47,1.67,10.92,sans,
NGC2071,,Cl+N,amas + nebuleuse,5.7854,0.2943,7.00,5.00,8.0,LP,
NGC2117,,OCl,amas ouvert,5.7961,-67.4502,2.00,1.80,11.65,sans,
NGC2122,,Cl+N,amas + nebuleuse,5.8146,-70.0701,6.00,5.00,10.43,LP,
NGC2127,,OCl,amas ouvert,5.8559,-69.3591,1.50,1.50,11.64,sans,
NGC2134,,GCl,amas globulaire,5.866,-71.0976,2.80,2.80,11.05,sans,
M37,,OCl,amas ouvert,5.8718,32.553,11.40,11.40,5.6,sans,37
NGC2136,,GCl,amas globulaire,5.8827,-69.4928,2.80,2.50,10.7,sans,
NGC2112,,OCl,amas ouvert,5.8959,0.4108,21.00,21.00,9.1,sans,
IC2149,,PN,nebuleuse planetaire,5.94,46.1048,0.14,0.14,10.78,LP,
NGC2157,,GCl,amas globulaire,5.9597,-69.1972,2.80,2.80,10.16,sans,
NGC2154,,GCl,amas globulaire,5.9604,-67.2638,2.40,2.40,11.79,sans,
NGC2156,,GCl,amas globulaire,5.9638,-68.4608,2.10,2.10,11.38,sans,
NGC2173,,GCl,amas globulaire,5.9664,-72.9745,2.60,2.60,11.88,sans,
NGC2159,,GCl,amas globulaire,5.9677,-68.6229,1.90,1.90,11.38,sans,
NGC2164,,GCl,amas globulaire,5.9823,-68.5159,2.80,2.80,10.34,sans,
NGC2172,,OCl,amas ouvert,6.0016,-68.6369,1.70,1.70,11.75,sans,
NGC2129,,OCl,amas ouvert,6.0185,23.3222,3.90,3.90,6.7,sans,
NGC2139,,G,galaxie,6.0188,-23.6726,2.94,2.16,11.66,sans,
NGC2141,,OCl,amas ouvert,6.0486,10.4465,5.40,5.40,9.4,sans,
NGC2203,,GCl,amas globulaire,6.0785,-75.4384,3.20,3.20,11.29,sans,
IC2157,,OCl,amas ouvert,6.0799,24.071,2.70,2.70,8.4,sans,
NGC2158,,OCl,amas ouvert,6.1238,24.0962,8.40,8.40,8.6,sans,
NGC2169,,OCl,amas ouvert,6.1401,13.9649,7.20,7.20,5.9,sans,
M35,,OCl,amas ouvert,6.1514,24.3386,24.00,24.00,5.1,sans,35
NGC2182,,RfN,nebuleuse par reflexion,6.1586,-6.3264,3.00,2.00,9.0,sans,
NGC2180,,OCl,amas ouvert,6.1601,4.7116,4.20,4.20,9.0,sans,
NGC2175,,Cl+N,amas + nebuleuse,6.161,20.4876,5.40,5.40,6.8,LP,
NGC2188,,G,galaxie,6.1693,-34.1062,5.42,1.33,11.67,sans,
NGC2210,,GCl,amas globulaire,6.192,-69.1214,3.30,3.30,10.94,sans,
NGC2186,,OCl,amas ouvert,6.202,5.4586,4.20,4.20,8.7,sans,
NGC2196,,G,galaxie,6.2027,-21.8059,2.77,2.16,11.19,sans,
NGC2214,,OCl,amas ouvert,6.2158,-68.2607,3.10,3.10,10.93,sans,
NGC2194,,OCl,amas ouvert,6.2294,12.8067,8.70,8.70,8.5,sans,
NGC2192,,OCl,amas ouvert,6.2548,39.8552,5.40,5.40,10.9,sans,
NGC2204,,OCl,amas ouvert,6.2589,-18.6659,6.30,6.30,8.6,sans,
NGC2207,,G,galaxie,6.2728,-21.3727,4.86,2.71,11.06,sans,
IC2163,,G,galaxie,6.2744,-21.3759,3.37,0.95,11.11,sans,
IC0443,Gem A,SNR,remanent de supernova,6.2771,22.5317,50.00,40.00,12.0,LP,
IC0444,,RfN,nebuleuse par reflexion,6.3094,23.3133,8.00,4.00,7.03,sans,
NGC2146,,G,galaxie,6.3105,78.357,5.31,4.32,10.69,sans,
NGC2215,,OCl,amas ouvert,6.347,-7.2838,8.40,8.40,8.45,sans,
NGC2217,,G,galaxie,6.361,-27.2338,4.63,4.12,10.57,sans,
IC2165,,PN,nebuleuse planetaire,6.3619,-12.9872,0.15,0.15,10.5,LP,
NGC2223,,G,galaxie,6.41,-22.8382,2.82,2.25,11.87,sans,
NGC2232,,OCl,amas ouvert,6.467,-4.8474,9.90,9.90,3.9,sans,
NGC2243,,OCl,amas ouvert,6.4929,-31.2813,5.10,5.10,9.4,sans,
NGC2236,,OCl,amas ouvert,6.4944,6.8307,5.40,5.40,8.5,sans,
NGC2238,Rosette Nebula,HII,region HII,6.5112,5.0131,80.00,60.00,6.0,LP,
IC0447,,HII,region HII,6.5168,9.8974,25.00,20.00,7.7,LP,
NGC2239,,Cl+N,amas + nebuleuse,6.5321,4.9429,9.30,9.30,4.8,LP,
NGC2245,,RfN,nebuleuse par reflexion,6.5448,10.1566,2.00,2.00,11.0,sans,
NGC2247,,RfN,nebuleuse par reflexion,6.5514,10.3223,2.00,2.00,8.5,sans,
NGC2250,,OCl,amas ouvert,6.5639,-5.0844,5.10,5.10,8.9,sans,
NGC2251,,OCl,amas ouvert,6.5774,8.3664,5.70,5.70,7.3,sans,
NGC2252,,OCl,amas ouvert,6.5786,5.3662,6.60,6.60,7.7,sans,
NGC2254,,OCl,amas ouvert,6.5971,7.6733,4.20,4.20,9.1,sans,
NGC2259,,OCl,amas ouvert,6.6393,10.8836,6.00,6.00,10.8,sans,
NGC2261,Hubble's Nebula,RfN,nebuleuse par reflexion,6.6526,8.7443,2.00,1.00,11.85,sans,
NGC2262,,OCl,amas ouvert,6.6606,1.1436,3.90,3.90,11.3,sans,
NGC2264,Christmas Tree Cluster,Cl+N,amas + nebuleuse,6.6828,9.8955,11.40,11.40,3.9,LP,
NGC2272,,G,galaxie,6.7115,-27.4595,2.19,1.54,11.94,sans,
NGC2269,,OCl,amas ouvert,6.7214,4.6243,4.80,4.80,10.0,sans,
NGC2266,,OCl,amas ouvert,6.722,26.9696,4.20,4.20,9.5,sans,
NGC2280,,G,galaxie,6.747,-27.6386,6.53,2.84,11.12,sans,
M41,,OCl,amas ouvert,6.7667,-20.7542,12.00,12.00,4.5,sans,41
NGC2282,,HII,region HII,6.781,1.316,3.00,3.00,10.0,LP,
NGC2292,,G,galaxie,6.7943,-26.7462,4.34,3.78,11.83,sans,
NGC2286,,OCl,amas ouvert,6.7945,-3.1477,5.40,5.40,7.5,sans,
NGC2293,,G,galaxie,6.7953,-26.7544,4.41,3.44,11.04,sans,
NGC2258,,G,galaxie,6.7961,74.4817,3.02,1.91,11.87,sans,
NGC2281,,OCl,amas ouvert,6.805,41.0789,10.80,10.80,5.4,sans,
NGC2305,,G,galaxie,6.8104,-64.2732,1.94,1.04,11.7,sans,
NGC2298,,GCl,amas globulaire,6.8164,-36.0053,4.80,4.80,8.89,sans,
NGC2301,Great Bird Cluster,OCl,amas ouvert,6.8626,0.4592,10.20,10.20,6.0,sans,
NGC2299,,OCl,amas ouvert,6.8649,-7.0827,4.80,4.80,8.9,sans,
NGC2310,,G,galaxie,6.8983,-40.8626,4.52,0.95,11.81,sans,
NGC2304,,OCl,amas ouvert,6.9199,17.9928,4.80,4.80,10.0,sans,
NGC2309,,OCl,amas ouvert,6.9343,-7.1743,5.40,5.40,10.5,sans,
NGC2311,,OCl,amas ouvert,6.9632,-4.6113,6.00,6.00,9.6,sans,
NGC2319,,OCl,amas ouvert,7.0089,3.0422,6.00,6.00,11.85,sans,
M50,,OCl,amas ouvert,7.0446,-8.364,14.10,14.10,5.9,sans,50
NGC2325,,G,galaxie,7.0446,-28.6972,3.97,2.31,11.18,sans,
NGC2324,,OCl,amas ouvert,7.0689,1.0446,8.70,8.70,8.4,sans,
NGC2320,,G,galaxie,7.095,50.5811,1.48,0.83,11.94,sans,
NGC2335,,OCl,amas ouvert,7.1137,-10.0286,8.70,8.70,7.2,sans,
NGC2331,,OCl,amas ouvert,7.1166,27.2616,4.80,4.80,8.5,sans,
NGC2343,,OCl,amas ouvert,7.1352,-10.6168,7.50,7.50,6.7,sans,
NGC2345,,OCl,amas ouvert,7.1386,-13.1937,6.90,6.90,7.7,sans,
NGC2339,,G,galaxie,7.139,18.7802,2.42,1.53,11.76,sans,
NGC2346,,PN,nebuleuse planetaire,7.1564,-0.8091,0.87,0.87,11.6,LP,
NGC2340,,G,galaxie,7.1863,50.1747,3.16,1.64,11.73,sans,
NGC2354,,OCl,amas ouvert,7.2348,-25.6889,4.80,4.80,6.5,sans,
NGC2268,,G,galaxie,7.2382,84.3823,2.14,0.93,11.56,sans,
NGC2353,,OCl,amas ouvert,7.2418,-10.2659,6.60,6.60,7.1,sans,
NGC2355,,OCl,amas ouvert,7.2831,13.7499,6.00,6.00,9.7,sans,
NGC2360,Caroline's Cluster,OCl,amas ouvert,7.2953,-15.6413,9.00,9.00,7.2,sans,
NGC2362,,OCl,amas ouvert,7.3115,-24.9542,7.20,7.20,4.1,sans,
NGC2367,,OCl,amas ouvert,7.3346,-21.8841,5.40,5.40,7.9,sans,
NGC2368,,OCl,amas ouvert,7.3518,-10.3718,4.50,4.50,11.8,sans,
NGC2397,,G,galaxie,7.3556,-69.0015,2.51,0.76,11.97,sans,
NGC2380,,G,galaxie,7.3985,-27.5291,2.52,2.40,11.12,sans,
NGC2374,,OCl,amas ouvert,7.3989,-13.2634,9.00,9.00,8.0,sans,
NGC2383,,OCl,amas ouvert,7.4111,-20.9476,4.20,4.20,8.4,sans,
NGC2384,,OCl,amas ouvert,7.4194,-21.0199,4.80,4.80,7.4,sans,
NGC2371,,PN,nebuleuse planetaire,7.4263,29.4906,2.20,0.96,11.2,LP,
NGC2336,,G,galaxie,7.4511,80.1781,5.01,2.81,10.68,sans,
NGC2395,,OCl,amas ouvert,7.4536,13.6082,4.62,4.62,8.0,sans,
NGC2276,,G,galaxie,7.454,85.7546,2.23,1.73,11.5,sans,
NGC2396,,OCl,amas ouvert,7.4675,-11.7197,6.60,6.60,7.4,sans,
NGC2366,,G,galaxie,7.4819,69.2158,4.37,1.44,11.17,sans,
NGC2392,Eskimo Nebula,PN,nebuleuse planetaire,7.4863,20.9118,0.86,0.86,9.61,LP,
NGC2409,,OCl,amas ouvert,7.5269,-17.1904,0.11,0.11,7.3,sans,
NGC2300,,G,galaxie,7.5389,85.7095,3.05,2.34,11.16,sans,
NGC2414,,OCl,amas ouvert,7.5536,-15.4539,5.40,5.40,7.9,sans,
NGC2434,,G,galaxie,7.5809,-69.2841,2.69,2.20,11.34,sans,
NGC2421,,OCl,amas ouvert,7.6033,-20.6123,5.10,5.10,8.3,sans,
NGC2442,,G,galaxie,7.6066,-69.5308,4.68,3.09,10.63,sans,
NGC2427,,G,galaxie,7.6078,-47.6356,5.74,2.46,11.48,sans,
M47,,OCl,amas ouvert,7.6097,-14.4826,19.80,19.80,4.4,sans,47
NGC2403,,G,galaxie,7.6143,65.6026,19.95,10.07,8.43,sans,
NGC2423,,OCl,amas ouvert,7.6185,-13.8715,11.70,11.70,6.7,sans,
NGC2419,,GCl,amas globulaire,7.6355,38.88,4.50,4.50,10.05,sans,
NGC2420,,OCl,amas ouvert,7.64,21.5741,7.50,7.50,8.3,sans,
NGC2439,,OCl,amas ouvert,7.6793,-31.6924,8.70,8.70,6.9,sans,
NGC2432,,OCl,amas ouvert,7.6816,-19.0691,5.40,5.40,10.2,sans,
M46,,OCl,amas ouvert,7.6963,-14.81,21.00,21.00,6.1,sans,46
NGC2438,,PN,nebuleuse planetaire,7.6973,-14.7358,1.07,1.07,10.8,LP,
NGC2440,,PN,nebuleuse planetaire,7.6987,-18.2085,0.27,0.27,9.4,LP,
M93,,OCl,amas ouvert,7.7415,-23.8531,15.00,15.00,6.2,sans,93
NGC2451,,OCl,amas ouvert,7.7542,-37.9674,37.50,37.50,9.5,sans,
NGC2452,,PN,nebuleuse planetaire,7.7907,-27.334,0.32,0.32,12.0,LP,
NGC2453,,OCl,amas ouvert,7.7928,-27.1948,3.00,3.00,8.3,sans,
NGC2455,,OCl,amas ouvert,7.8163,-21.2979,4.50,4.50,10.2,sans,
NGC2477,,OCl,amas ouvert,7.8694,-38.5333,18.60,18.60,5.8,sans,
NGC2479,,OCl,amas ouvert,7.9184,-17.7078,6.30,6.30,9.6,sans,
NGC2482,,OCl,amas ouvert,7.9195,-24.2546,6.60,6.60,7.3,sans,
NGC2483,,OCl,amas ouvert,7.9274,-27.8868,3.30,3.30,7.6,sans,
NGC2502,,G,galaxie,7.931,-52.3068,2.21,1.12,11.96,sans,
NGC2489,,OCl,amas ouvert,7.9375,-30.0608,4.20,4.20,7.9,sans,
NGC2460,,G,galaxie,7.9479,60.3494,1.83,1.37,11.71,sans,
NGC2516,,OCl,amas ouvert,7.9686,-60.7535,24.30,24.30,3.8,sans,
NGC2506,,OCl,amas ouvert,8.0005,-10.7696,10.80,10.80,7.6,sans,
NGC2509,,OCl,amas ouvert,8.0133,-19.0505,4.80,4.80,9.3,sans,
NGC2500,,G,galaxie,8.0314,50.7371,2.47,2.34,11.65,sans,
NGC2513,,G,galaxie,8.0402,9.4136,1.91,1.43,11.63,sans,
NGC2517,,G,galaxie,8.0464,-12.3178,1.74,1.49,11.92,sans,
NGC2520,,OCl,amas ouvert,8.0828,-28.1467,9.30,9.30,6.5,sans,
NGC2525,,G,galaxie,8.0939,-11.427,3.08,2.17,11.47,sans,
NGC2533,,OCl,amas ouvert,8.1178,-29.8839,4.98,4.98,7.6,sans,
NGC2547,,OCl,amas ouvert,8.1693,-49.2057,7.80,7.80,4.7,sans,
NGC2539,,OCl,amas ouvert,8.1769,-12.8207,12.30,12.30,6.5,sans,
NGC2546,,OCl,amas ouvert,8.2043,-37.5943,16.50,16.50,6.3,sans,
NGC2537,Bear Claw Nebula,G,galaxie,8.2207,45.9898,2.07,1.96,11.71,sans,
M48,,OCl,amas ouvert,8.2287,-5.7504,28.20,28.20,5.8,sans,48
NGC2541,,G,galaxie,8.2445,49.0617,3.02,1.60,11.7,sans,
NGC2523,,G,galaxie,8.25,73.579,2.79,1.78,11.9,sans,
NGC2559,,G,galaxie,8.285,-27.4558,2.81,1.34,11.33,sans,
NGC2567,,OCl,amas ouvert,8.3098,-30.6356,6.00,6.00,7.4,sans,
NGC2566,,G,galaxie,8.3127,-25.4995,3.98,2.75,10.81,sans,
IC2311,,G,galaxie,8.3128,-25.3697,2.14,1.99,11.52,sans,
NGC2571,,OCl,amas ouvert,8.3157,-29.7493,7.20,7.20,7.0,sans,
NGC2549,,G,galaxie,8.3162,57.8031,3.63,0.92,11.14,sans,
NGC2580,,OCl,amas ouvert,8.3577,-30.2935,3.00,3.00,9.7,sans,
NGC2588,,OCl,amas ouvert,8.386,-32.9752,3.90,3.90,11.8,sans,
NGC2587,,OCl,amas ouvert,8.39,-29.5087,6.00,6.00,9.2,sans,
NGC2613,,G,galaxie,8.5563,-22.9737,7.62,1.79,10.38,sans,
NGC2627,,OCl,amas ouvert,8.6208,-29.9504,5.40,5.40,8.4,sans,
NGC2640,,G,galaxie,8.6235,-55.1238,4.67,4.00,11.02,sans,
NGC2635,,OCl,amas ouvert,8.6406,-34.7716,5.10,5.10,11.2,sans,
NGC2645,,OCl,amas ouvert,8.6509,-46.2273,6.60,6.60,7.32,sans,
M44,Beehive,OCl,amas ouvert,8.6728,19.6721,108.60,108.60,3.1,sans,44
IC2391,omi Vel Cluster,OCl,amas ouvert,8.6755,-53.0355,29.10,29.10,2.5,sans,
IC2395,,OCl,amas ouvert,8.7084,-48.1506,6.00,6.00,4.6,sans,
NGC2659,,OCl,amas ouvert,8.7092,-45.0005,5.10,5.10,8.6,sans,
NGC2660,,OCl,amas ouvert,8.7106,-47.2007,3.60,3.60,8.8,sans,
NGC2648,,G,galaxie,8.7111,14.2856,3.15,1.08,11.88,sans,
NGC2658,,OCl,amas ouvert,8.7243,-32.6562,7.20,7.20,9.2,sans,
NGC2639,,G,galaxie,8.7272,50.2056,1.61,1.21,11.76,sans,
NGC2663,,G,galaxie,8.7523,-33.7948,3.90,2.75,10.59,sans,
NGC2670,,OCl,amas ouvert,8.7582,-48.7916,4.20,4.20,7.8,sans,
NGC2665,,G,galaxie,8.7669,-19.3029,2.00,1.72,11.63,sans,
NGC2671,,OCl,amas ouvert,8.77,-41.8772,5.10,5.10,11.6,sans,
NGC2669,,OCl,amas ouvert,8.7729,-52.9475,8.40,8.40,6.1,sans,
NGC2634,,G,galaxie,8.8071,73.9672,1.72,1.66,11.97,sans,
NGC2654,,G,galaxie,8.82,60.2211,4.45,0.89,11.69,sans,
NGC2672,,G,galaxie,8.8227,19.075,3.20,2.87,11.64,sans,
M67,,OCl,amas ouvert,8.8556,11.8119,33.00,33.00,6.9,sans,67
NGC2683,,G,galaxie,8.8781,33.4217,9.48,2.70,9.69,sans,
NGC2681,,G,galaxie,8.8924,51.3137,3.97,3.97,10.86,sans,
